parameter,LOCATCD,dataset,FLDNUM,mean.val,sd.val,N.val,units
TNTP,BX00.4M,trib,2,60.97892366,30.90699177,328,mol:mol
TNTP,MQ02.1M,trib,3,88.5658571,55.42988812,403,mol:mol
TNTP,I007.0W,main,4,38.05696951,28.38040031,380,mol:mol
TNTP,M556.4A,main,3,47.75756794,28.44751672,433,mol:mol
TNTP,CU11.6M,trib,4,33.71699568,38.54055734,352,mol:mol
TNTP,RK00.1M,trib,3,342.9585929,356.3614193,326,mol:mol
TNTP,I157.8D,main,6,30.5031416,17.72134287,389,mol:mol
TNTP,BK01.0M,trib,2,32.06841401,18.25776863,408,mol:mol
TNTP,LM07.2M,trib,6,58.34424111,56.32311681,396,mol:mol
TNTP,UI02.9M,trib,2,163.4309357,194.6427888,304,mol:mol
TNTP,M078.0B,main,5,27.41978123,11.64303495,380,mol:mol
TNTP,CC00.6M,trib,2,43.22061611,51.94467518,377,mol:mol
TNTP,PE01.8M,trib,4,21.57204649,13.06203375,338,mol:mol
TNTP,I080.2C,main,6,33.93276081,21.76724682,398,mol:mol
TNTP,M701.1B,main,2,49.93378732,36.16953671,474,mol:mol
